"ts","MP","par","seconds","TACw","PGKw","LRPw","SSQ"
"2025-09-08 17:56:41","CE",1.55876574443792,33.2333528995514,26240.2214096124,0.87052,0.02681,0.0053567761
"2025-09-08 17:57:12","CE",2.49123425556208,31.2139928340912,21899.2831748547,0.95485,0.00511,0.0090041121
"2025-09-08 17:57:43","CE",0.982468511124169,31.2104392051697,29164.4940269528,0.7727,0.07041,0.0008755681
"2025-09-08 17:58:15","CE",0.626297233313746,31.455450296402,31248.7523412053,0.66626,0.12137,0.0004566769
"2025-09-08 17:58:45","CE",0.721298779881041,30.5909068584442,30670.9455760871,0.70137,0.10296,8.76159999999994e-06
"2025-09-08 17:59:16","CE",0.778312192107144,30.8143711090088,30334.9949466094,0.71919,0.09511,2.39121000000001e-05
"2025-09-08 17:59:47","CE",0.745750135829812,30.9971539974213,30532.8380273541,0.70867,0.09952,2.30400000000008e-07
"2025-09-08 18:00:19","CE",0.742416791383936,31.5425884723663,30551.3776837104,0.70752,0.10022,4.83999999999991e-08
"2025-09-08 18:00:50","CE",0.739083446987731,31.6730632781982,30570.3774025814,0.70644,0.10067,4.48899999999987e-07
"2025-09-08 18:01:22","CE",0.742416791383936,31.3944702148438,30551.3776837104,0.70752,0.10022,4.83999999999991e-08
"2025-09-08 18:03:53","IR",1.55876574443792,33.4408640861511,33570.4815894605,0.53285,0.21467,0.0131492089
"2025-09-08 18:04:25","IR",2.49123425556208,31.4299929141998,35197.6527798574,0.45467,0.27507,0.0306495049
"2025-09-08 18:04:56","IR",0.982468511124169,31.3210513591766,30126.844615449,0.74341,0.09056,8.91136000000001e-05
"2025-09-08 18:05:27","IR",0.626297233313746,30.8801732063293,19712.1980878006,0.97181,0.00267,0.0094731289
"2025-09-08 18:05:58","IR",1.05502735684741,31.0715568065643,30957.3678674285,0.70337,0.10663,4.39569e-05
"2025-09-08 18:06:30","IR",1.02393399572194,31.5933442115784,30631.8834100702,0.71996,0.09852,2.19040000000003e-06
"2025-09-08 18:07:01","IR",1.02726734431308,31.2009818553925,30670.3723515417,0.71793,0.09885,1.32250000000003e-06
"2025-09-08 18:07:32","IR",1.03060069295389,31.4209616184235,30707.8001785895,0.71607,0.0997,9.00000000000052e-08
"2025-09-08 18:08:04","IR",1.03993084832944,31.1908521652222,30807.7886778691,0.71089,0.10226,5.10759999999999e-06
"2025-09-08 18:08:34","IR",1.03416449518703,30.5892803668976,30746.9834225049,0.71441,0.1003,8.99999999999968e-08
"2025-09-08 18:09:05","IR",1.03416449518703,30.9310908317566,30746.9834225049,0.71441,0.1003,8.99999999999968e-08
"2025-09-08 18:16:25","SP",1.55876574443792,75.2114446163177,33521.6910070443,0.51148,0.22948,0.0167650704
"2025-09-08 18:17:41","SP",2.49123425556208,76.010326385498,34291.5919868739,0.48237,0.24611,0.0213481321
"2025-09-08 18:18:53","SP",0.982468511124169,72.04470038414,32547.991780435,0.54241,0.21759,0.0138274081
"2025-09-08 18:19:57","SP",0.626297233313746,64.5075342655182,29963.2709620013,0.68433,0.11756,0.0003083536
"2025-09-08 18:20:55","SP",0.406171277810423,57.8634922504425,7871.25843163472,1,0,0.01
"2025-09-08 18:22:03","SP",0.670977582901444,68.3858768939972,30340.269879603,0.61685,0.17663,0.0058721569
"2025-09-08 18:23:08","SP",0.550819418959351,64.1528315544128,23280.6921712064,0.98785,0.00167,0.0096687889
"2025-09-08 18:24:10","SP",0.618536359890216,62.0247099399567,29868.0281191477,0.70663,0.09852,2.19040000000003e-06
"2025-09-08 18:25:12","SP",0.61025821054427,61.9284992218018,29808.0932297993,0.72733,0.08689,0.0001718721
"2025-09-08 18:26:14","SP",0.615203017339973,62.3539650440216,29850.4153069331,0.71378,0.095,2.5e-05
"2025-09-08 18:27:18","SP",0.621869702440459,64.3230576515198,29901.7873455668,0.69722,0.10681,4.63761e-05
"2025-09-08 18:28:20","SP",0.618536359890216,61.78630900383,29868.0281191477,0.70663,0.09852,2.19040000000003e-06
"2025-09-08 18:30:04","SPAH",1.55876574443792,57.0478439331055,30596.9001193531,0.77874,0.059,0.001681
"2025-09-08 18:31:09","SPAH",2.49123425556208,64.9295065402985,31532.2911234178,0.70774,0.09126,7.63876000000002e-05
"2025-09-08 18:32:21","SPAH",3.06753148887583,72.1055912971497,31833.114156039,0.67456,0.11396,0.0001948816
"2025-09-08 18:33:29","SPAH",2.69886591633796,68.2275953292847,31667.7046614096,0.69507,0.10041,1.68099999999995e-07
"2025-09-08 18:34:36","SPAH",2.71320340819969,67.0060012340546,31678.2744814973,0.69437,0.10041,1.68099999999995e-07
"2025-09-08 18:35:44","SPAH",2.70603466226882,68.2482302188873,31674.8460940574,0.69456,0.10026,6.75999999999981e-08
"2025-09-08 18:36:52","SPAH",2.70270128861243,68.0826551914215,31672.6979121392,0.69485,0.1003,8.99999999999968e-08
"2025-09-08 18:37:59","SPAH",2.70936803592522,66.497008562088,31675.3012931971,0.69411,0.10044,1.93599999999996e-07
"2025-09-08 18:39:06","SPAH",2.70603466226882,67.0317320823669,31674.8460940574,0.69456,0.10026,6.75999999999981e-08
